Interval=	0,01 s
ExcelDateTime=	4,1975582744861116e+004	02.12.2014 13:59:09,156
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
13,44	5,392
13,45	5,287
13,46	5,179
13,47	5,061
13,48	4,928
13,49	4,778
13,5	4,603
13,51	4,393
13,52	4,144
13,53	3,857
13,54	3,533
13,55	3,203
13,56	2,930
13,57	2,764
13,58	2,706
13,59	2,720
13,6	2,742
13,61	2,710
13,62	2,620
13,63	2,507
13,64	2,386
13,65	2,239
13,66	2,073
13,67	1,928
13,68	1,828
13,69	1,748
13,7	1,653
13,71	1,551
13,72	1,467
13,73	1,395
13,74	1,312
13,75	1,208
13,76	1,091
13,77	0,976
13,78	0,875
13,79	0,789
13,8	0,711
13,81	0,629
13,82	0,539
13,83	0,449
13,84	0,367
13,85	0,296
13,86	0,227
13,87	0,153
13,88	0,077
13,89	0,006
13,9	-0,061
13,91	-0,128
13,92	-0,197
13,93	-0,259
13,94	-0,307
13,95	-0,339
13,96	-0,364
13,97	-0,394
13,98	-0,436
13,99	-0,487
14,0	-0,537
14,01	-0,584
14,02	-0,630
14,03	-0,676
14,04	-0,724
14,05	-0,774
14,06	-0,822
14,07	-0,867
14,08	-0,907
14,09	-0,943
14,1	-0,976
14,11	-1,008
14,12	-1,033
14,13	-1,046
14,14	-1,054
14,15	-1,073
14,16	-1,095
14,17	-1,096
14,18	-1,063
14,19	-1,012
14,2	-0,985
14,21	-0,999
14,22	-1,028
14,23	-1,038
14,24	-1,018
14,25	-0,983
14,26	-0,954
14,27	-0,934
14,28	-0,917
14,29	-0,898
14,3	-0,883
14,31	-0,881
14,32	-0,893
14,33	-0,907
14,34	-0,914
14,35	-0,908
14,36	-0,903
14,37	-0,913
14,38	-0,940
14,39	-0,978
14,4	-1,026
14,41	-1,084
14,42	-1,151
14,43	-1,226
14,44	-1,302
14,45	-1,377
14,46	-1,448
14,47	-1,509
14,48	-1,558
14,49	-1,591
14,5	-1,603
14,51	-1,592
14,52	-1,564
14,53	-1,537
14,54	-1,531
14,55	-1,551
14,56	-1,591
14,57	-1,643
14,58	-1,699
14,59	-1,754
14,6	-1,806
14,61	-1,852
14,62	-1,883
14,63	-1,892
14,64	-1,880
14,65	-1,873
14,66	-1,892
14,67	-1,933
14,68	-1,978
14,69	-2,023
14,7	-2,077
14,71	-2,147
14,72	-2,230
14,73	-2,316
14,74	-2,389
14,75	-2,436
14,76	-2,446
14,77	-2,426
14,78	-2,386
14,79	-2,331
14,8	-2,265
14,81	-2,192
14,82	-2,116
14,83	-2,039
14,84	-1,959
14,85	-1,879
14,86	-1,805
14,87	-1,734
14,88	-1,660
14,89	-1,578
14,9	-1,483
14,91	-1,365
14,92	-1,221
14,93	-1,067
14,94	-0,924
14,95	-0,803
14,96	-0,701
14,97	-0,609
14,98	-0,517
14,99	-0,409
15,0	-0,260
15,01	-0,054
15,02	0,201
15,03	0,478
15,04	0,744
15,05	0,979
15,06	1,179
15,07	1,361
15,08	1,544
15,09	1,728
15,1	1,901
15,11	2,050
15,12	2,181
15,13	2,316
15,14	2,471
15,15	2,632
15,16	2,768
15,17	2,870
15,18	2,969
15,19	3,081
15,2	3,179
15,21	3,244
15,22	3,292
15,23	3,355
15,24	3,436
15,25	3,502
15,26	3,523
15,27	3,511
15,28	3,511
15,29	3,545
15,3	3,594
15,31	3,639
15,32	3,686
15,33	3,739
15,34	3,807
15,35	3,894
15,36	3,981
15,37	4,027
15,38	4,031
15,39	4,041
15,4	4,104
15,41	4,215
15,42	4,339
15,43	4,446
15,44	4,534
15,45	4,612
15,46	4,689
15,47	4,761
15,48	4,812
15,49	4,824
15,5	4,793
15,51	4,741
15,52	4,708
15,53	4,713
15,54	4,756
15,55	4,826
15,56	4,902
15,57	4,969
15,58	5,018
15,59	5,041
15,6	5,046
15,61	5,054
15,62	5,082
15,63	5,126
15,64	5,148
15,65	5,119
15,66	5,074
15,67	5,066
15,68	5,091
15,69	5,081
15,7	5,005
15,71	4,913
15,72	4,854
15,73	4,816
15,74	4,768
15,75	4,706
15,76	4,640
15,77	4,551
15,78	4,408
15,79	4,204
15,8	3,959
15,81	3,678
15,82	3,346
15,83	2,957
15,84	2,558
15,85	2,260
15,86	2,151
15,87	2,181
15,88	2,192
15,89	2,105
15,9	1,981
15,91	1,879
15,92	1,776
15,93	1,639
15,94	1,476
15,95	1,307
15,96	1,151
15,97	1,021
15,98	0,929
15,99	0,881
16,0	0,857
16,01	0,824
16,02	0,761
16,03	0,672
16,04	0,570
16,05	0,461
16,06	0,346
16,07	0,233
16,08	0,140
16,09	0,079
16,1	0,035
16,11	-0,018
16,12	-0,092
16,13	-0,186
16,14	-0,292
16,15	-0,404
16,16	-0,508
16,17	-0,594
16,18	-0,668
16,19	-0,750
16,2	-0,846
16,21	-0,939
16,22	-1,014
16,23	-1,076
16,24	-1,136
16,25	-1,204
16,26	-1,279
16,27	-1,360
16,28	-1,444
16,29	-1,530
16,3	-1,610
16,31	-1,678
16,32	-1,734
