Interval=	0,01 s
ExcelDateTime=	4,1975582292743056e+004	02.12.2014 13:58:30,093
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
9,67	1,306
9,68	1,234
9,69	1,166
9,7	1,099
9,71	1,031
9,72	0,962
9,73	0,896
9,74	0,833
9,75	0,774
9,76	0,716
9,77	0,657
9,78	0,598
9,79	0,541
9,8	0,487
9,81	0,437
9,82	0,388
9,83	0,340
9,84	0,292
9,85	0,246
9,86	0,201
9,87	0,158
9,88	0,116
9,89	0,072
9,9	0,036
9,91	0,009
9,92	-0,019
9,93	-0,062
9,94	-0,116
9,95	-0,163
9,96	-0,189
9,97	-0,200
9,98	-0,220
9,99	-0,258
10,0	-0,306
10,01	-0,354
10,02	-0,393
10,03	-0,425
10,04	-0,455
10,05	-0,487
10,06	-0,521
10,07	-0,553
10,08	-0,582
10,09	-0,606
10,1	-0,624
10,11	-0,638
10,12	-0,646
10,13	-0,656
10,14	-0,669
10,15	-0,683
10,16	-0,696
10,17	-0,706
10,18	-0,716
10,19	-0,726
10,2	-0,734
10,21	-0,738
10,22	-0,739
10,23	-0,745
10,24	-0,756
10,25	-0,773
10,26	-0,789
10,27	-0,799
10,28	-0,802
10,29	-0,802
10,3	-0,804
10,31	-0,812
10,32	-0,824
10,33	-0,838
10,34	-0,853
10,35	-0,864
10,36	-0,874
10,37	-0,885
10,38	-0,896
10,39	-0,899
10,4	-0,886
10,41	-0,864
10,42	-0,849
10,43	-0,845
10,44	-0,844
10,45	-0,841
10,46	-0,837
10,47	-0,831
10,48	-0,824
10,49	-0,816
10,5	-0,809
10,51	-0,807
10,52	-0,809
10,53	-0,816
10,54	-0,824
10,55	-0,835
10,56	-0,848
10,57	-0,859
10,58	-0,864
10,59	-0,864
10,6	-0,863
10,61	-0,858
10,62	-0,849
10,63	-0,839
10,64	-0,829
10,65	-0,823
10,66	-0,820
10,67	-0,819
10,68	-0,817
10,69	-0,816
10,7	-0,816
10,71	-0,822
10,72	-0,834
10,73	-0,851
10,74	-0,869
10,75	-0,877
10,76	-0,874
10,77	-0,864
10,78	-0,854
10,79	-0,846
10,8	-0,843
10,81	-0,839
10,82	-0,834
10,83	-0,833
10,84	-0,835
10,85	-0,844
10,86	-0,854
10,87	-0,865
10,88	-0,874
10,89	-0,873
10,9	-0,853
10,91	-0,820
10,92	-0,802
10,93	-0,807
10,94	-0,820
10,95	-0,833
10,96	-0,844
10,97	-0,854
10,98	-0,869
10,99	-0,894
11,0	-0,922
11,01	-0,943
11,02	-0,951
11,03	-0,953
11,04	-0,955
11,05	-0,959
11,06	-0,963
11,07	-0,956
11,08	-0,933
11,09	-0,899
11,1	-0,859
11,11	-0,821
11,12	-0,791
11,13	-0,770
11,14	-0,755
11,15	-0,744
11,16	-0,735
